import time: self [us] | cumulative | imported package
import time:        22 |      28594 |       pandas.io.json._json
import time:      3312 |       3312 |       pandas.io.stata
import time:       522 |      33787 |     pandas.api.typing
import time:       751 |      38919 |   pandas.api
import time:       384 |        384 |           tempfile
import time:       410 |        793 |         pandas._testing.contexts
import time:       598 |       1391 |       pandas._testing._io
import time:       477 |        477 |       pandas._testing._warnings
import time:      4411 |       4411 |           cmath
import time:     12292 |      16703 |         pandas._libs.testing
import time:       589 |      17292 |       pandas._testing.asserters
import time:       550 |        550 |       pandas._testing.compat
import time:      1204 |      20913 |     pandas._testing
import time:       588 |      21501 |   pandas.testing
import time:       490 |        490 |   pandas.util._print_versions
import time:       512 |        512 |     pandas.io.clipboards
import time:       593 |        593 |         pandas.io.excel._util
import time:       570 |        570 |         pandas.io.excel._calamine
import time:       648 |        648 |         pandas.io.excel._odfreader
import time:       621 |        621 |         pandas.io.excel._openpyxl
import time:       394 |        394 |         pandas.io.excel._pyxlsb
import time:       496 |        496 |         pandas.io.excel._xlrd
import time:      1502 |       4820 |       pandas.io.excel._base
import time:       305 |        305 |       pandas.io.excel._odswriter
import time:       584 |        584 |       pandas.io.excel._xlsxwriter
import time:       489 |       6197 |     pandas.io.excel
import time:       319 |        319 |     pandas.io.feather_format
import time:       465 |        465 |     pandas.io.gbq
import time:       647 |        647 |     pandas.io.html
import time:       416 |        416 |     pandas.io.orc
import time:       582 |        582 |     pandas.io.parquet
import time:       401 |        401 |       pandas.compat.pickle_compat
import time:       524 |        925 |     pandas.io.pickle
import time:       826 |        826 |       pandas.core.computation.pytables
import time:      1539 |       2365 |     pandas.io.pytables
import time:       550 |        550 |       pandas.io.sas.sasreader
import time:       414 |        963 |     pandas.io.sas
import time:       419 |        419 |     pandas.io.spss
import time:       748 |        748 |     pandas.io.sql
import time:       839 |        839 |     pandas.io.xml
import time:       446 |      15834 |   pandas.io.api
import time:       525 |        525 |   pandas.util._tester
import time:       439 |        439 |   pandas._version_meson
import time:      1214 |    2686764 | pandas
import time:       827 |        827 |   scipy.__config__
import time:       752 |        752 |   scipy.version
import time:        21 |         21 |     scipy._distributor_init_local
import time:       824 |        844 |   scipy._distributor_init
import time:        58 |         58 |       cython
import time:       844 |        902 |     scipy._lib._testutils
import time:       508 |       1409 |   scipy._lib
import time:       819 |        819 |   scipy._lib._pep440
import time:     16108 |      16108 |     scipy._lib._ccallback_c
import time:       740 |      16848 |   scipy._lib._ccallback
import time:      1230 |      22725 | scipy
import time:     21077 |      21077 |                   scipy.linalg._fblas
import time:       269 |        269 |                   scipy.linalg._cblas
import time:        21 |         21 |                   scipy.linalg._fblas_64
import time:       929 |      22294 |                 scipy.linalg.blas
import time:     26200 |      26200 |                   scipy.linalg._flapack
import time:        44 |         44 |                   scipy.linalg._clapack
import time:        19 |         19 |                   scipy.linalg._flapack_64
import time:      1789 |      28051 |                 scipy.linalg.lapack
import time:       789 |      51133 |               scipy.linalg._misc
import time:     16165 |      16165 |                 scipy.linalg.cython_lapack
import time:     12253 |      28417 |               scipy.linalg._cythonized_array_utils
import time:       624 |        624 |                         numpy._typing._add_docstring
import time:       975 |       1599 |                       numpy.typing
import time:       723 |        723 |                           scipy._lib.array_api_compat.common._helpers
import time:       549 |       1271 |                         scipy._lib.array_api_compat.common
import time:       600 |       1870 |                       scipy._lib.array_api_compat
import time:       577 |        577 |                               unittest.util
import time:       652 |       1229 |                             unittest.result
import time:       923 |        923 |                               difflib
import time:      1060 |       1982 |                             unittest.case
import time:       660 |        660 |                             unittest.suite
import time:       771 |        771 |                             unittest.loader
import time:       502 |        502 |                                 gettext
import time:       655 |       1157 |                               argparse
import time:       639 |        639 |                                 unittest.signals
import time:       489 |       1127 |                               unittest.runner
import time:       461 |       2744 |                             unittest.main
import time:       696 |       8079 |                           unittest
import time:       564 |        564 |                           numpy.testing._private
import time:       124 |        124 |                               concurrent
import time:       539 |        539 |                               concurrent.futures._base
import time:       160 |        822 |                             concurrent.futures
import time:       733 |       1555 |                           numpy.testing._private.utils
import time:       778 |        778 |                           numpy.testing._private.extbuild
import time:       325 |        325 |                           numpy.testing.overrides
import time:       594 |      11892 |                         numpy.testing
import time:       528 |        528 |                             numpy.polynomial.polyutils
import time:       614 |        614 |                             numpy.polynomial._polybase
import time:       657 |       1798 |                           numpy.polynomial.polynomial
import time:       534 |        534 |                           numpy.polynomial.chebyshev
import time:       341 |        341 |                           numpy.polynomial.legendre
import time:       612 |        612 |                           numpy.polynomial.hermite
import time:       498 |        498 |                           numpy.polynomial.hermite_e
import time:       554 |        554 |                           numpy.polynomial.laguerre
import time:       579 |       4912 |                         numpy.polynomial
import time:       427 |        427 |                         numpy.rec
import time:       417 |        417 |                           numpy.core._utils
import time:       420 |        837 |                         numpy.core
import time:      9401 |       9401 |                             numpy.fft._pocketfft_umath
import time:       696 |      10097 |                           numpy.fft._pocketfft
import time:       572 |        572 |                           numpy.fft._helper
import time:       202 |        202 |                           numpy.fft.helper
import time:       473 |      11342 |                         numpy.fft
import time:       646 |        646 |                           numpy._core.strings
import time:       248 |        894 |                         numpy.strings
import time:       563 |        563 |                         numpy.ctypeslib
import time:       561 |        561 |                           numpy._core.defchararray
import time:       265 |        826 |                         numpy.char
import time:       602 |        602 |                               fileinput
import time:       675 |        675 |                                     charset_normalizer.constant
import time:      3106 |       3106 |                                         _multibytecodec
import time:       224 |       3329 |                                       charset_normalizer.utils
import time:       267 |       3596 |                                     charset_normalizer.md
import time:       456 |        456 |                                     charset_normalizer.models
import time:       192 |       4917 |                                   charset_normalizer.cd
import time:       387 |       5303 |                                 charset_normalizer.api
import time:       169 |        169 |                                 charset_normalizer.legacy
import time:       100 |        100 |                                 charset_normalizer.version
import time:       169 |       5741 |                               charset_normalizer
import time:       472 |        472 |                               numpy.f2py.__version__
import time:       393 |        393 |                                 numpy.f2py.cfuncs
import time:       651 |       1044 |                               numpy.f2py.auxfuncs
import time:      1157 |       1157 |                               numpy.f2py.symbolic
import time:      7428 |      16441 |                             numpy.f2py.crackfortran
import time:      1297 |       1297 |                                 numpy.f2py.cb_rules
import time:       480 |        480 |                                 numpy.f2py._isocbind
import time:       497 |       2273 |                               numpy.f2py.capi_maps
import time:       380 |        380 |                                 numpy.f2py.func2subr
import time:       306 |        686 |                               numpy.f2py.common_rules
import time:       227 |        227 |                               numpy.f2py.use_rules
import time:       396 |        396 |                               numpy.f2py.f90mod_rules
import time:      3010 |       6590 |                             numpy.f2py.rules
import time:       582 |        582 |                             numpy.f2py._backends
import time:       532 |      24143 |                           numpy.f2py.f2py2e
import time:       243 |        243 |                           numpy.f2py.diagnose
import time:       594 |      24978 |                         numpy.f2py
import time:      1093 |       1093 |                           scipy._lib.array_api_compat.common._aliases
import time:       422 |        422 |                           scipy._lib.array_api_compat._internal
import time:       568 |        568 |                           scipy._lib.array_api_compat.numpy._info
import time:       956 |       3037 |                         scipy._lib.array_api_compat.numpy._aliases
import time:       894 |        894 |                           scipy._lib.array_api_compat.common._linalg
import time:       547 |       1441 |                         scipy._lib.array_api_compat.numpy.linalg
import time:       518 |        518 |                           scipy._lib.array_api_compat.common._fft
import time:       543 |       1060 |                         scipy._lib.array_api_compat.numpy.fft
import time:       839 |      63042 |                       scipy._lib.array_api_compat.numpy
import time:       978 |      67488 |                     scipy._lib._array_api
import time:       713 |        713 |                     scipy._lib._docscrape
import time:      1018 |      69218 |                   scipy._lib._util
import time:       657 |      69874 |                 scipy.linalg._decomp
import time:       532 |        532 |                 scipy.linalg._decomp_svd
import time:     17383 |      17383 |                 scipy.linalg._solve_toeplitz
import time:      1074 |      88862 |               scipy.linalg._basic
import time:     12834 |      12834 |                 scipy.linalg._decomp_lu_cython
import time:       740 |      13573 |               scipy.linalg._decomp_lu
import time:       582 |        582 |               scipy.linalg._decomp_ldl
import time:       581 |        581 |               scipy.linalg._decomp_cholesky
import time:       490 |        490 |               scipy.linalg._decomp_qr
import time:       388 |        388 |               scipy.linalg._decomp_qz
import time:       558 |        558 |               scipy.linalg._decomp_schur
import time:       424 |        424 |               scipy.linalg._decomp_polar
import time:       500 |        500 |                 scipy.linalg._expm_frechet
import time:      8870 |       8870 |                   scipy.linalg._matfuncs_sqrtm_triu
import time:       392 |       9261 |                 scipy.linalg._matfuncs_sqrtm
import time:     10612 |      10612 |                 scipy.linalg._matfuncs_expm
import time:      7773 |       7773 |                 scipy.linalg._linalg_pythran
import time:       800 |      28943 |               scipy.linalg._matfuncs
import time:       823 |        823 |               scipy.linalg._special_matrices
import time:       617 |        617 |               scipy.linalg._solvers
import time:       454 |        454 |               scipy.linalg._procrustes
import time:      9514 |       9514 |                 scipy.linalg.cython_blas
import time:     12533 |      22047 |               scipy.linalg._decomp_update
import time:       946 |        946 |                     scipy.sparse._sputils
import time:       498 |        498 |                     scipy.sparse._matrix
import time:      1093 |       2536 |                   scipy.sparse._base
import time:     42499 |      42499 |                     scipy.sparse._sparsetools
import time:      1034 |       1034 |                       scipy.sparse._data
import time:       637 |        637 |                       scipy.sparse._index
import time:      1081 |       2751 |                     scipy.sparse._compressed
import time:       660 |      45909 |                   scipy.sparse._csr
import time:       695 |        695 |                   scipy.sparse._csc
import time:     16312 |      16312 |                     scipy.sparse._csparsetools
import time:       839 |      17151 |                   scipy.sparse._lil
import time:      1121 |       1121 |                   scipy.sparse._dok
import time:      1237 |       1237 |                   scipy.sparse._coo
import time:       707 |        707 |                   scipy.sparse._dia
import time:       852 |        852 |                   scipy.sparse._bsr
import time:      1774 |       1774 |                   scipy.sparse._construct
import time:       615 |        615 |                   scipy.sparse._extract
import time:       373 |        373 |                   scipy.sparse._matrix_io
import time:       804 |        804 |                             scipy.sparse.linalg._interface
import time:       648 |        648 |                             scipy.sparse.linalg._isolve.utils
import time:       719 |       2170 |                           scipy.sparse.linalg._isolve.iterative
import time:       406 |        406 |                           scipy.sparse.linalg._isolve.minres
import time:       401 |        401 |                             scipy.sparse.linalg._isolve._gcrotmk
import time:       718 |       1119 |                           scipy.sparse.linalg._isolve.lgmres
import time:       507 |        507 |                           scipy.sparse.linalg._isolve.lsqr
import time:       554 |        554 |                           scipy.sparse.linalg._isolve.lsmr
import time:       358 |        358 |                           scipy.sparse.linalg._isolve.tfqmr
import time:       757 |       5868 |                         scipy.sparse.linalg._isolve
import time:      9593 |       9593 |                             scipy.sparse.linalg._dsolve._superlu
import time:       137 |        137 |                               scikits
import time:        31 |        168 |                             scikits.umfpack
import time:       757 |      10517 |                           scipy.sparse.linalg._dsolve.linsolve
import time:       587 |        587 |                           scipy.sparse.linalg._dsolve._add_newdocs
import time:       487 |      11590 |                         scipy.sparse.linalg._dsolve
import time:       961 |        961 |                                 scipy._lib.decorator
import time:       593 |       1554 |                               scipy._lib._threadsafety
import time:     12232 |      12232 |                               scipy.sparse.linalg._eigen.arpack._arpack
import time:      1031 |      14816 |                             scipy.sparse.linalg._eigen.arpack.arpack
import time:       614 |      15429 |                           scipy.sparse.linalg._eigen.arpack
import time:       687 |        687 |                             scipy.sparse.linalg._eigen.lobpcg.lobpcg
import time:       903 |       1589 |                           scipy.sparse.linalg._eigen.lobpcg
import time:        74 |         74 |                               scipy.sparse.linalg._propack
import time:      9425 |       9425 |                               scipy.sparse.linalg._propack._spropack
import time:      8282 |       8282 |                               scipy.sparse.linalg._propack._dpropack
import time:      8614 |       8614 |                               scipy.sparse.linalg._propack._cpropack
import time:      8369 |       8369 |                               scipy.sparse.linalg._propack._zpropack
import time:       777 |      35539 |                             scipy.sparse.linalg._svdp
import time:      1504 |      37042 |                           scipy.sparse.linalg._eigen._svds
import time:       698 |      54758 |                         scipy.sparse.linalg._eigen
import time:       413 |        413 |                             scipy.sparse.linalg._onenormest
import time:       758 |       1170 |                           scipy.sparse.linalg._expm_multiply
import time:       877 |       2047 |                         scipy.sparse.linalg._matfuncs
import time:       475 |        475 |                         scipy.sparse.linalg._norm
import time:       594 |        594 |                         scipy.sparse.linalg._special_sparse_arrays
import time:       496 |        496 |                           scipy._lib.deprecation
import time:       565 |       1060 |                         scipy.sparse.linalg.isolve
import time:       449 |        449 |                         scipy.sparse.linalg.dsolve
import time:       431 |        431 |                         scipy.sparse.linalg.interface
import time:       399 |        399 |                         scipy.sparse.linalg.eigen
import time:       436 |        436 |                         scipy.sparse.linalg.matfuncs
import time:       781 |      78881 |                       scipy.sparse.linalg
import time:       517 |      79397 |                     scipy.sparse.csgraph._laplacian
import time:      9078 |       9078 |                         scipy.sparse.csgraph._tools
import time:       662 |       9739 |                       scipy.sparse.csgraph._validation
import time:     12231 |      21970 |                     scipy.sparse.csgraph._shortest_path
import time:     12349 |      12349 |                     scipy.sparse.csgraph._traversal
import time:      9917 |       9917 |                     scipy.sparse.csgraph._min_spanning_tree
import time:     10817 |      10817 |                     scipy.sparse.csgraph._flow
import time:     10640 |      10640 |                     scipy.sparse.csgraph._matching
import time:     10782 |      10782 |                     scipy.sparse.csgraph._reordering
import time:       785 |     156652 |                   scipy.sparse.csgraph
import time:       477 |        477 |                   scipy.sparse.base
import time:       558 |        558 |                   scipy.sparse.bsr
import time:       366 |        366 |                   scipy.sparse.compressed
import time:       465 |        465 |                   scipy.sparse.construct
import time:       525 |        525 |                   scipy.sparse.coo
import time:       440 |        440 |                   scipy.sparse.csc
import time:       360 |        360 |                   scipy.sparse.csr
import time:       427 |        427 |                   scipy.sparse.data
import time:       406 |        406 |                   scipy.sparse.dia
import time:       387 |        387 |                   scipy.sparse.dok
import time:       581 |        581 |                   scipy.sparse.extract
import time:       317 |        317 |                   scipy.sparse.lil
import time:       388 |        388 |                   scipy.sparse.sparsetools
import time:       356 |        356 |                   scipy.sparse.sputils
import time:      1204 |     236867 |                 scipy.sparse
import time:      1148 |     238014 |               scipy.linalg._sketches
import time:       589 |        589 |               scipy.linalg._decomp_cossin
import time:       532 |        532 |               scipy.linalg.decomp
import time:       406 |        406 |               scipy.linalg.decomp_cholesky
import time:       318 |        318 |               scipy.linalg.decomp_lu
import time:       372 |        372 |               scipy.linalg.decomp_qr
import time:       279 |        279 |               scipy.linalg.decomp_svd
import time:       227 |        227 |               scipy.linalg.decomp_schur
import time:       344 |        344 |               scipy.linalg.basic
import time:       408 |        408 |               scipy.linalg.misc
import time:       428 |        428 |               scipy.linalg.special_matrices
import time:       422 |        422 |               scipy.linalg.matfuncs
import time:      1043 |     481261 |             scipy.linalg
import time:       165 |        165 |                   packaging
import time:       122 |        122 |                   packaging._structures
import time:      1281 |       1567 |                 packaging.version
import time:       550 |       2116 |               statsmodels.compat.numpy
import time:       557 |       2673 |             statsmodels.tools.data
import time:       796 |        796 |               statsmodels.tools.validation.validation
import time:       609 |       1405 |             statsmodels.tools.validation
import time:       809 |     486147 |           statsmodels.tools.tools
import time:       532 |        532 |           statsmodels.tools._test_runner
import time:      1039 |     487717 |         statsmodels.tools
import time:        25 |     487741 |       statsmodels.tools._test_runner
import time:       427 |        427 |       statsmodels.compat.python
import time:       826 |     488994 |     statsmodels.compat
import time:        23 |         23 |       pandas._testing.makeDataFrame
import time:       537 |        560 |     statsmodels.compat.pandas
import time:       463 |        463 |         patsy.version
import time:       445 |        445 |         patsy.origin
import time:       309 |        309 |               patsy.compat
import time:       542 |        850 |             patsy.util
import time:       511 |        511 |               patsy.infix_parser
import time:       352 |        352 |                 patsy.tokens
import time:       468 |        819 |               patsy.parse_formula
import time:       458 |       1786 |             patsy.constraint
import time:       442 |        442 |             patsy.contrasts
import time:       297 |        297 |                   patsy.categorical
import time:       359 |        359 |                   patsy.state
import time:       284 |        284 |                   patsy.splines
import time:       401 |        401 |                   patsy.mgcv_cubic_splines
import time:       372 |       1710 |                 patsy.builtins
import time:       623 |       2333 |               patsy.eval
import time:       515 |       2848 |             patsy.desc
import time:       718 |       6643 |           patsy.design_info
import time:       423 |        423 |             patsy.redundancy
import time:       264 |        264 |             patsy.missing
import time:       493 |       1180 |           patsy.build
import time:       504 |       8326 |         patsy.highlevel
import time:       307 |        307 |         patsy.user_util
import time:       698 |      10238 |       patsy
import time:        13 |      10250 |     patsy.util
import time:       419 |     500221 |   statsmodels.compat.patsy
import time:       597 |        597 |   statsmodels._version
import time:      1381 |     502199 | statsmodels
import time:        78 |         78 | arch
Traceback (most recent call last):
  File "<string>", line 1, in <module>
    import pandas, scipy, statsmodels, arch; print('ALL OK')
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ModuleNotFoundError: No module named 'arch'
