import time: self [us] | cumulative | imported package
import time:      1603 |       2281 |         numpy.lib._function_base_impl
import time:       589 |      43377 |       numpy.lib._index_tricks_impl
import time:      1295 |       1295 |       numpy.lib._nanfunctions_impl
import time:      1072 |       1072 |       numpy.lib._shape_base_impl
import time:      2701 |       2701 |       numpy.lib._arraysetops_impl
import time:      1104 |       1104 |       numpy.lib._polynomial_impl
import time:       298 |        298 |       numpy.lib._arrayterator_impl
import time:       338 |        338 |       numpy.lib._arraypad_impl
import time:       397 |        397 |       numpy.lib._version
import time:      3304 |      79427 |     numpy.lib
import time:       523 |        523 |     numpy._array_api_info
import time:      2823 |     530925 |   numpy
import time:       705 |        705 |     pytz.exceptions
import time:       423 |        423 |       threading
import time:       435 |        857 |     pytz.lazy
import time:       551 |        551 |         _bisect
import time:       134 |        684 |       bisect
import time:       388 |       1072 |     pytz.tzinfo
import time:       274 |        274 |     pytz.tzfile
import time:      1527 |       4432 |   pytz
import time:       398 |        398 |     dateutil._version
import time:       643 |       1040 |   dateutil
import time:       270 |        270 |       sysconfig
import time:       362 |        362 |       _sysconfigdata__darwin_darwin
import time:       172 |        172 |       _osx_support
import time:      1028 |       1830 |     pandas.compat._constants
import time:       164 |        164 |         _compression
import time:       710 |        710 |         _bz2
import time:       197 |       1070 |       bz2
import time:       792 |        792 |         _lzma
import time:       211 |       1003 |       lzma
import time:       613 |       2684 |     pandas.compat.compressors
import time:       820 |        820 |         pandas.util
import time:      1660 |       2480 |       pandas.util.version
import time:       761 |       3240 |     pandas.compat.numpy
import time:        26 |         26 |         gc
import time:      1690 |       1690 |         pyarrow._generated_version
import time:       120 |        120 |           backports_abc
import time:      2877 |       2877 |             _decimal
import time:       223 |       3100 |           decimal
import time:       227 |        227 |                 copy
import time:      2185 |       2185 |                       _opcode
import time:       261 |        261 |                       _opcode_metadata
import time:       361 |       2805 |                     opcode
import time:       776 |       3581 |                   dis
import time:       179 |        179 |                     token
import time:        30 |         30 |                     _tokenize
import time:       813 |       1021 |                   tokenize
import time:      1501 |       6102 |                 inspect
import time:       631 |       6959 |               dataclasses
import time:       256 |        256 |                   _colorize
import time:       635 |        891 |                 traceback
import time:        28 |         28 |                   _string
import time:       524 |        552 |                 string
import time:        34 |         34 |                 atexit
import time:      1371 |       2846 |               logging
import time:      2162 |       2162 |                 _uuid
import time:       431 |       2592 |               uuid
import time:       905 |      13300 |             cloudpickle.cloudpickle
import time:       743 |      14042 |           cloudpickle
import time:       492 |        492 |           signal
import time:      2827 |       2827 |               _socket
import time:      2477 |       2477 |                 select
import time:       611 |       3087 |               selectors
import time:      2570 |       2570 |               array
import time:      1194 |       9676 |             socket
import time:       803 |      10478 |           pyarrow.util
import time:      2649 |       2649 |               _heapq
import time:       261 |       2910 |             heapq
import time:      2405 |       2405 |             _queue
import time:       439 |       5754 |           queue
import time:   1172525 |    1206508 |         pyarrow.lib
import time:      2827 |       2827 |         pyarrow.ipc
import time:       693 |        693 |         pyarrow.types
import time:      2217 |    1213958 |       pyarrow
import time:       520 |    1214478 |     pandas.compat.pyarrow
import time:      1153 |    1223384 |   pandas.compat
import time:       123 |        123 |                 backports_abc
import time:      8361 |       8483 |               numpy.random._common
import time:      2082 |       2082 |                   binascii
import time:       262 |       2343 |                 base64
import time:      2996 |       2996 |                   _hashlib
import time:      2024 |       2024 |                     _blake2
import time:       248 |       2272 |                   hashlib
import time:       235 |       5502 |                 hmac
import time:      1921 |       1921 |                   _random
import time:       374 |       2295 |                 random
import time:       203 |      10341 |               secrets
import time:      8617 |      27440 |             numpy.random.bit_generator
import time:      8177 |       8177 |               numpy.random._bounded_integers
import time:      7815 |       7815 |               numpy.random._mt19937
